CMDLINE /usr/bin/python3 scripts/Lasso-RF-TARA.py
MEM 260.082031 1652252401.8995
MEM 269.871094 1652252401.9999
MEM 269.871094 1652252402.1002
MEM 269.871094 1652252402.2004
MEM 240.503906 1652252402.3009
MEM 250.292969 1652252402.4013
MEM 260.082031 1652252402.5017
MEM 269.613281 1652252402.6021
MEM 269.613281 1652252402.7024
MEM 240.503906 1652252402.8029
MEM 260.082031 1652252402.9033
MEM 269.613281 1652252403.0038
MEM 269.613281 1652252403.1041
MEM 240.503906 1652252403.2046
MEM 260.082031 1652252403.3050
MEM 269.613281 1652252403.4054
MEM 269.613281 1652252403.5057
MEM 240.503906 1652252403.6061
MEM 260.082031 1652252403.7065
MEM 269.613281 1652252403.8068
MEM 269.613281 1652252403.9071
MEM 269.613281 1652252404.0074
MEM 240.503906 1652252404.1079
MEM 260.082031 1652252404.2082
MEM 269.871094 1652252404.3086
MEM 269.871094 1652252404.4090
MEM 269.871094 1652252404.5094
MEM 240.503906 1652252404.6098
MEM 260.082031 1652252404.7101
MEM 260.082031 1652252404.8105
MEM 269.613281 1652252404.9109
MEM 269.613281 1652252405.0111
MEM 240.503906 1652252405.1115
MEM 260.082031 1652252405.2118
MEM 260.082031 1652252405.3122
MEM 269.613281 1652252405.4126
MEM 269.613281 1652252405.5129
MEM 240.503906 1652252405.6133
MEM 260.082031 1652252405.7136
MEM 269.613281 1652252405.8140
MEM 269.613281 1652252405.9144
MEM 269.613281 1652252406.0148
MEM 240.503906 1652252406.1151
MEM 260.082031 1652252406.2155
MEM 269.613281 1652252406.3159
MEM 269.613281 1652252406.4163
MEM 269.613281 1652252406.5166
MEM 240.503906 1652252406.6169
MEM 260.082031 1652252406.7173
MEM 269.871094 1652252406.8177
MEM 269.871094 1652252406.9181
MEM 269.871094 1652252407.0185
MEM 240.503906 1652252407.1188
MEM 260.082031 1652252407.2191
MEM 269.613281 1652252407.3196
MEM 269.613281 1652252407.4202
MEM 269.613281 1652252407.5205
MEM 240.503906 1652252407.6209
MEM 260.082031 1652252407.7212
MEM 269.613281 1652252407.8217
MEM 269.613281 1652252407.9220
MEM 240.503906 1652252408.0223
MEM 260.082031 1652252408.1227
MEM 269.613281 1652252408.2231
MEM 269.613281 1652252408.3312
MEM 240.503906 1652252408.4316
MEM 240.503906 1652252408.5319
MEM 260.082031 1652252408.6323
MEM 269.613281 1652252408.7327
MEM 269.613281 1652252408.8331
MEM 240.503906 1652252408.9335
MEM 240.503906 1652252409.0338
MEM 260.082031 1652252409.1342
MEM 269.871094 1652252409.2346
MEM 269.871094 1652252409.3349
MEM 240.246094 1652252409.4353
MEM 240.503906 1652252409.5356
MEM 260.082031 1652252409.6359
MEM 269.613281 1652252409.7363
MEM 269.613281 1652252409.8367
MEM 240.503906 1652252409.9370
MEM 260.082031 1652252410.0374
MEM 260.082031 1652252410.1378
MEM 269.613281 1652252410.2382
MEM 269.613281 1652252410.3385
MEM 240.503906 1652252410.4389
MEM 260.082031 1652252410.5392
MEM 269.613281 1652252410.6396
MEM 269.613281 1652252410.7400
MEM 237.152344 1652252410.8403
MEM 240.503906 1652252410.9407
MEM 260.082031 1652252411.0411
MEM 269.613281 1652252411.1415
MEM 269.613281 1652252411.2418
MEM 239.730469 1652252411.3422
MEM 240.503906 1652252411.4424
MEM 260.082031 1652252411.5428
MEM 269.871094 1652252411.6432
MEM 269.871094 1652252411.7435
MEM 237.152344 1652252411.8438
MEM 260.082031 1652252411.9441
MEM 260.082031 1652252412.0444
MEM 269.613281 1652252412.1447
MEM 269.613281 1652252412.2450
MEM 269.613281 1652252412.3453
MEM 260.082031 1652252412.4456
MEM 269.613281 1652252412.5460
MEM 269.613281 1652252412.6462
MEM 269.613281 1652252412.7465
MEM 240.503906 1652252412.8468
MEM 240.503906 1652252412.9471
MEM 260.082031 1652252413.0474
MEM 269.613281 1652252413.1478
MEM 269.613281 1652252413.2481
MEM 240.503906 1652252413.3484
MEM 240.503906 1652252413.4487
MEM 260.082031 1652252413.5490
MEM 269.613281 1652252413.6494
MEM 269.613281 1652252413.7497
MEM 238.183594 1652252413.8501
MEM 240.503906 1652252413.9503
MEM 260.082031 1652252414.0507
MEM 269.871094 1652252414.1510
MEM 269.871094 1652252414.2513
MEM 269.871094 1652252414.3516
MEM 240.503906 1652252414.4521
MEM 260.082031 1652252414.5525
MEM 269.613281 1652252414.6529
MEM 269.613281 1652252414.7532
MEM 269.613281 1652252414.8535
MEM 240.503906 1652252414.9539
MEM 260.082031 1652252415.0543
MEM 260.082031 1652252415.1547
MEM 269.613281 1652252415.2552
MEM 269.613281 1652252415.3555
MEM 240.503906 1652252415.4559
MEM 260.082031 1652252415.5563
MEM 269.613281 1652252415.6567
MEM 269.613281 1652252415.7570
MEM 240.503906 1652252415.8574
MEM 260.082031 1652252415.9577
MEM 269.613281 1652252416.0581
MEM 269.613281 1652252416.1585
MEM 269.613281 1652252416.2589
MEM 240.503906 1652252416.3592
MEM 260.082031 1652252416.4595
MEM 260.082031 1652252416.5599
MEM 269.871094 1652252416.6603
MEM 269.871094 1652252416.7607
MEM 240.503906 1652252416.8612
MEM 260.082031 1652252416.9615
MEM 269.613281 1652252417.0619
MEM 269.613281 1652252417.1624
MEM 269.613281 1652252417.2627
MEM 240.503906 1652252417.3632
MEM 260.082031 1652252417.4636
MEM 269.613281 1652252417.5640
MEM 269.613281 1652252417.6644
MEM 240.503906 1652252417.7648
MEM 260.082031 1652252417.8651
MEM 269.613281 1652252417.9655
MEM 269.613281 1652252418.0658
MEM 269.613281 1652252418.1661
MEM 240.503906 1652252418.2664
MEM 260.082031 1652252418.3668
MEM 260.082031 1652252418.4672
MEM 269.613281 1652252418.5675
MEM 269.613281 1652252418.6678
MEM 240.503906 1652252418.7682
MEM 260.082031 1652252418.8686
MEM 269.871094 1652252418.9689
MEM 269.871094 1652252419.0693
MEM 240.503906 1652252419.1696
MEM 260.082031 1652252419.2700
MEM 260.082031 1652252419.3704
MEM 269.613281 1652252419.4708
MEM 269.613281 1652252419.5711
MEM 240.503906 1652252419.6714
MEM 260.082031 1652252419.7718
MEM 269.613281 1652252419.8722
MEM 269.613281 1652252419.9725
MEM 240.503906 1652252420.0729
MEM 254.808594 1652252420.1733
MEM 260.082031 1652252420.2737
MEM 269.613281 1652252420.3741
MEM 269.613281 1652252420.4744
MEM 237.925781 1652252420.5748
MEM 240.503906 1652252420.6751
MEM 260.082031 1652252420.7755
MEM 269.613281 1652252420.8759
MEM 269.613281 1652252420.9779
MEM 269.613281 1652252421.0783
MEM 240.503906 1652252421.1786
MEM 260.082031 1652252421.2790
MEM 260.082031 1652252421.3794
MEM 269.871094 1652252421.4872
MEM 269.871094 1652252421.5875
MEM 240.503906 1652252421.6879
MEM 260.082031 1652252421.7883
MEM 269.613281 1652252421.8890
MEM 269.613281 1652252421.9895
MEM 236.914062 1652252422.0901
MEM 240.503906 1652252422.1904
MEM 260.082031 1652252422.2952
MEM 269.613281 1652252422.3956
MEM 269.613281 1652252422.4959
MEM 240.503906 1652252422.5962
MEM 260.082031 1652252422.6966
MEM 269.613281 1652252422.7971
MEM 269.613281 1652252422.8975
MEM 269.613281 1652252422.9978
MEM 240.503906 1652252423.0982
MEM 240.503906 1652252423.1985
MEM 260.082031 1652252423.2989
MEM 269.613281 1652252423.3992
MEM 269.613281 1652252423.5006
MEM 240.503906 1652252423.6010
MEM 260.082031 1652252423.7037
MEM 269.871094 1652252423.8040
MEM 269.871094 1652252423.9044
MEM 269.871094 1652252424.0048
MEM 240.503906 1652252424.1052
MEM 260.082031 1652252424.2056
MEM 269.613281 1652252424.3059
MEM 269.613281 1652252424.4090
MEM 240.503906 1652252424.5094
MEM 260.082031 1652252424.6097
MEM 269.613281 1652252424.7101
MEM 269.613281 1652252424.8104
MEM 228.914062 1652252424.9107
MEM 240.503906 1652252425.0111
MEM 260.082031 1652252425.1115
MEM 269.613281 1652252425.2118
MEM 269.613281 1652252425.3122
MEM 269.613281 1652252425.4126
MEM 240.503906 1652252425.5130
MEM 240.503906 1652252425.6133
MEM 260.082031 1652252425.7137
MEM 269.613281 1652252425.8141
MEM 269.613281 1652252425.9145
MEM 269.613281 1652252426.0149
MEM 240.503906 1652252426.1151
MEM 260.082031 1652252426.2155
MEM 269.871094 1652252426.3159
MEM 269.871094 1652252426.4163
MEM 269.871094 1652252426.5167
MEM 240.503906 1652252426.6171
MEM 260.082031 1652252426.7174
MEM 264.855469 1652252426.8178
MEM 269.613281 1652252426.9182
MEM 269.613281 1652252427.0185
MEM 240.503906 1652252427.1189
MEM 260.082031 1652252427.2193
MEM 269.613281 1652252427.3197
MEM 269.613281 1652252427.4201
MEM 240.503906 1652252427.5204
MEM 260.082031 1652252427.6208
MEM 260.339844 1652252427.7213
MEM 269.613281 1652252427.8217
MEM 269.613281 1652252427.9220
MEM 240.503906 1652252428.0223
MEM 260.082031 1652252428.1227
MEM 269.613281 1652252428.2231
MEM 269.613281 1652252428.3234
MEM 240.503906 1652252428.4238
MEM 240.503906 1652252428.5241
MEM 260.082031 1652252428.6245
MEM 269.871094 1652252428.7248
MEM 269.871094 1652252428.8251
MEM 269.871094 1652252428.9255
MEM 240.503906 1652252429.0258
MEM 260.082031 1652252429.1261
MEM 269.613281 1652252429.2265
MEM 269.613281 1652252429.3271
MEM 240.503906 1652252429.4274
MEM 250.292969 1652252429.5277
MEM 260.082031 1652252429.6280
MEM 269.613281 1652252429.7284
MEM 269.613281 1652252429.8286
MEM 240.503906 1652252429.9290
MEM 260.082031 1652252430.0293
