CMDLINE /usr/bin/python3 scripts/Lasso-RF-Malaria.py
MEM 370.347656 1652243496.7635
MEM 318.457031 1652243496.8639
MEM 324.238281 1652243496.9646
MEM 354.761719 1652243497.0651
MEM 370.089844 1652243497.1655
MEM 370.089844 1652243497.2659
MEM 370.089844 1652243497.3665
MEM 324.238281 1652243497.4670
MEM 355.019531 1652243497.5674
MEM 370.347656 1652243497.6680
MEM 370.347656 1652243497.7687
MEM 324.238281 1652243497.8695
MEM 324.238281 1652243497.9699
MEM 355.019531 1652243498.0703
MEM 370.347656 1652243498.1707
MEM 370.347656 1652243498.2711
MEM 324.238281 1652243498.3715
MEM 355.019531 1652243498.4720
MEM 370.347656 1652243498.5724
MEM 370.347656 1652243498.6728
MEM 314.457031 1652243498.7731
MEM 339.242188 1652243498.8736
MEM 355.019531 1652243498.9739
MEM 370.347656 1652243499.0743
MEM 324.238281 1652243499.1746
MEM 339.500000 1652243499.2750
MEM 354.761719 1652243499.3754
MEM 370.089844 1652243499.4758
MEM 320.457031 1652243499.5762
MEM 324.238281 1652243499.6766
MEM 355.019531 1652243499.7770
MEM 370.347656 1652243499.8774
MEM 309.171875 1652243499.9779
MEM 324.238281 1652243500.0784
MEM 355.019531 1652243500.1788
MEM 370.347656 1652243500.2793
MEM 370.347656 1652243500.3796
MEM 324.238281 1652243500.4800
MEM 355.019531 1652243500.5804
MEM 370.347656 1652243500.6808
MEM 370.347656 1652243500.7812
MEM 370.347656 1652243500.8816
MEM 324.238281 1652243500.9819
MEM 355.019531 1652243501.0823
MEM 370.347656 1652243501.1828
MEM 310.199219 1652243501.2832
MEM 324.238281 1652243501.3836
MEM 354.761719 1652243501.4840
MEM 370.089844 1652243501.5845
MEM 370.089844 1652243501.6848
MEM 324.238281 1652243501.7852
MEM 355.019531 1652243501.8856
MEM 370.347656 1652243501.9860
MEM 370.347656 1652243502.0864
MEM 316.457031 1652243502.1869
MEM 324.238281 1652243502.2872
MEM 355.019531 1652243502.3877
MEM 370.347656 1652243502.4884
MEM 370.347656 1652243502.5889
MEM 370.347656 1652243502.6894
MEM 324.238281 1652243502.7898
MEM 355.019531 1652243502.8903
MEM 370.347656 1652243502.9907
MEM 370.347656 1652243503.0912
MEM 370.347656 1652243503.1916
MEM 320.457031 1652243503.2921
MEM 355.019531 1652243503.3925
MEM 355.019531 1652243503.4930
MEM 370.347656 1652243503.5935
MEM 370.347656 1652243503.6939
MEM 324.238281 1652243503.7944
MEM 324.238281 1652243503.8947
MEM 354.761719 1652243503.9952
MEM 370.089844 1652243504.0955
MEM 370.089844 1652243504.1959
MEM 324.238281 1652243504.2963
MEM 355.019531 1652243504.3967
MEM 370.347656 1652243504.4973
MEM 370.347656 1652243504.5976
MEM 316.457031 1652243504.6981
MEM 324.238281 1652243504.8003
MEM 355.019531 1652243504.9006
MEM 370.347656 1652243505.0010
MEM 370.347656 1652243505.1013
MEM 324.238281 1652243505.2017
MEM 355.019531 1652243505.3021
MEM 370.347656 1652243505.4026
MEM 370.347656 1652243505.5030
MEM 324.238281 1652243505.6034
MEM 355.019531 1652243505.7038
MEM 370.347656 1652243505.8043
MEM 370.347656 1652243505.9049
MEM 324.238281 1652243506.0053
MEM 354.761719 1652243506.1057
MEM 370.089844 1652243506.2062
MEM 370.089844 1652243506.3066
MEM 312.457031 1652243506.4070
MEM 324.238281 1652243506.5073
MEM 355.019531 1652243506.6078
MEM 370.347656 1652243506.7082
MEM 309.171875 1652243506.8086
MEM 324.238281 1652243506.9091
MEM 355.019531 1652243507.0095
MEM 370.347656 1652243507.1099
MEM 370.347656 1652243507.2102
MEM 324.238281 1652243507.3107
MEM 355.019531 1652243507.4111
MEM 370.347656 1652243507.5115
MEM 370.347656 1652243507.6119
MEM 314.457031 1652243507.7147
MEM 330.496094 1652243507.8151
MEM 355.019531 1652243507.9155
MEM 370.347656 1652243508.0158
MEM 318.457031 1652243508.1162
MEM 324.238281 1652243508.2166
MEM 354.761719 1652243508.3170
MEM 370.089844 1652243508.4175
MEM 370.089844 1652243508.5179
MEM 324.238281 1652243508.6200
MEM 324.238281 1652243508.7203
MEM 355.019531 1652243508.8207
MEM 370.347656 1652243508.9211
