CMDLINE /usr/bin/python3 scripts/AE-RF-Rhizo.py
MEM 1473.308594 1652240771.6327
MEM 1473.308594 1652240771.7330
MEM 1473.308594 1652240771.8334
MEM 1473.308594 1652240771.9338
MEM 1473.308594 1652240772.0342
MEM 1473.308594 1652240772.1346
MEM 1473.308594 1652240772.2350
MEM 1473.562500 1652240772.3354
MEM 1473.562500 1652240772.4358
MEM 1457.128906 1652240772.5362
MEM 1445.171875 1652240772.6366
MEM 1456.562500 1652240772.7370
MEM 1449.691406 1652240772.8375
MEM 1431.105469 1652240772.9379
MEM 1431.105469 1652240773.0383
MEM 1431.105469 1652240773.1386
MEM 1431.105469 1652240773.2391
MEM 1431.105469 1652240773.3394
MEM 1431.105469 1652240773.4398
MEM 1431.105469 1652240773.5402
MEM 1431.105469 1652240773.6406
MEM 1431.105469 1652240773.7409
MEM 1431.105469 1652240773.8413
MEM 1431.105469 1652240773.9418
MEM 1431.078125 1652240774.0422
MEM 1431.078125 1652240774.1425
MEM 1431.078125 1652240774.2429
MEM 1431.078125 1652240774.3432
MEM 1431.078125 1652240774.4436
MEM 1431.523438 1652240774.5440
MEM 1431.320312 1652240774.6444
MEM 1431.320312 1652240774.7447
MEM 1431.320312 1652240774.8451
MEM 1431.320312 1652240774.9455
MEM 1431.320312 1652240775.0459
MEM 1431.320312 1652240775.1463
MEM 1431.320312 1652240775.2467
MEM 1431.320312 1652240775.3471
MEM 1442.394531 1652240775.4475
MEM 1442.394531 1652240775.5479
MEM 1442.394531 1652240775.6483
MEM 1442.394531 1652240775.7486
MEM 1442.394531 1652240775.8491
MEM 1442.394531 1652240775.9495
MEM 1442.394531 1652240776.0498
MEM 1442.394531 1652240776.1502
MEM 1442.906250 1652240776.2506
MEM 1438.980469 1652240776.3510
MEM 1443.421875 1652240776.4514
MEM 1443.386719 1652240776.5537
MEM 1446.105469 1652240776.6541
MEM 1419.046875 1652240776.7548
MEM 1422.710938 1652240776.8551
MEM 1422.710938 1652240776.9555
MEM 1422.710938 1652240777.0559
MEM 1422.710938 1652240777.1562
MEM 1422.710938 1652240777.2566
MEM 1422.691406 1652240777.3570
MEM 1422.691406 1652240777.4574
MEM 1422.691406 1652240777.5577
MEM 1422.691406 1652240777.6581
MEM 1422.691406 1652240777.7585
MEM 1422.691406 1652240777.8589
MEM 1422.691406 1652240777.9592
MEM 1422.691406 1652240778.0596
MEM 1422.691406 1652240778.1600
MEM 1422.691406 1652240778.2604
MEM 1422.691406 1652240778.3608
MEM 1439.675781 1652240778.4612
MEM 1439.675781 1652240778.5615
MEM 1439.675781 1652240778.6619
MEM 1439.675781 1652240778.7625
MEM 1439.675781 1652240778.8628
MEM 1439.675781 1652240778.9632
MEM 1439.675781 1652240779.0636
